drug,disease,disease,score
D000069439,MESH:D008258,Waldenstrom Macroglobulinemia,0.662145615
D000069439,MESH:D016403,"Lymphoma, Large B-Cell, Diffuse",0.662113369
D000069439,MESH:D000562,Amebiasis,0.661714315
D000069439,MESH:D005076,Exanthema,0.661611199
D000069439,MESH:D051436,"Renal Insufficiency, Chronic",0.661462605
D000069439,MESH:D007948,"Leukemia, Monocytic, Acute",0.660455942
D000069439,MESH:D007592,Joint Diseases,0.660243869
D000069439,MESH:D009175,Mycoplasma Infections,0.659702063
D000069439,MESH:D018268,Adrenocortical Carcinoma,0.659356833
D000069439,MESH:D003327,Coronary Disease,0.65891093
D000069439,MESH:D010911,Pituitary Neoplasms,0.655330896
D000069439,MESH:D000013,Congenital Abnormalities,0.655097365
D000069439,MESH:D013924,Thrombophlebitis,0.655088544
D000069439,MESH:D012130,Respiratory Hypersensitivity,0.653772771
D000069439,MESH:D016773,"Leishmaniasis, Cutaneous",0.653412342
D000069439,MESH:D000075222,Essential Hypertension,0.653351963
D000069439,MESH:D020250,Postoperative Nausea and Vomiting,0.652669072
D000069439,MESH:D005315,Fetal Diseases,0.652201653
D000069439,MESH:D046110,"Hypertension, Pregnancy-Induced",0.651676834
D000069439,MESH:D018222,"Fibromatosis, Aggressive",0.651028752
D000069439,MESH:D049188,Prenatal Injuries,0.651000559
D000069439,MESH:D004283,Dog Diseases,0.650758445
D000069439,MESH:D006099,Granuloma,0.650146544
D000069439,MESH:D003027,Cluster Headache,0.649501503
D000069439,MESH:D004827,Epilepsy,0.649256408
D000069439,MESH:D000015,"Abnormalities, Multiple",0.649111688
D000069439,MESH:D010998,Pleurisy,0.647967875
D000069439,MESH:D008080,Liposarcoma,0.646530986
D000069439,MESH:D020233,"Gait Disorders, Neurologic",0.646156132
D000069439,MESH:D008181,Lupus Nephritis,0.64487505
D000069439,MESH:D007417,Intestinal Polyps,0.64485997
D000069439,MESH:D020324,"Amnesia, Anterograde",0.644590139
D000069439,MESH:D005759,Gastroenteritis,0.644088984
D000069439,MESH:D014555,Urination Disorders,0.642754078
D000069439,MESH:D010291,Paresis,0.640625
D000069439,MESH:D006967,Hypersensitivity,0.63969177
D000069439,MESH:D003218,Condylomata Acuminata,0.638756931
D000069439,MESH:D020766,Intracranial Embolism,0.638742924
D000069439,MESH:D005832,"Genital Diseases, Male",0.638741493
D000069439,MESH:D013158,Splenic Diseases,0.637510419
D000069439,MESH:D043183,Irritable Bowel Syndrome,0.637409329
D000069439,MESH:D000755,"Anemia, Sickle Cell",0.637395322
D000069439,MESH:D008413,Mastitis,0.637371957
D000069439,MESH:D058267,Flea Infestations,0.637250423
D000069439,MESH:D006938,Hyperlipoproteinemia Type II,0.637209952
D000069439,MESH:D000748,"Anemia, Macrocytic",0.637083471
D000069439,MESH:D003248,Constipation,0.636629581
D000069439,MESH:D011833,"Radiation Injuries, Experimental",0.635841846
D000069439,MESH:D004211,Disseminated Intravascular Coagulation,0.635754824
D000069439,MESH:D006968,"Hypersensitivity, Delayed",0.635467947
D000069439,MESH:D003731,Dental Caries,0.635394633
D000069439,MESH:D015207,"Osteoarthritis, Hip",0.634934485
D000069439,MESH:D015674,"Mammary Neoplasms, Animal",0.634156704
D000069439,MESH:D006373,Helminthiasis,0.634048939
D000069439,MESH:D051346,Mobility Limitation,0.634026706
D000069439,MESH:D004617,Embolism,0.631973803
D000069439,MESH:D011928,Raynaud Disease,0.630658686
D000069439,MESH:D012170,Retinal Vein Occlusion,0.62833637
D000069439,MESH:D006530,Hepatorenal Syndrome,0.62804383
D000069439,MESH:D010014,Osteolysis,0.627947211
D000069439,MESH:D006941,Hyperesthesia,0.627660155
D000069439,MESH:D014029,Tobacco Use Disorder,0.627461016
D000069439,MESH:D004374,"Ductus Arteriosus, Patent",0.627289891
D000069439,MESH:D001471,Barrett Esophagus,0.627039671
D000069439,MESH:D000437,Alcoholism,0.626127958
D000069439,MESH:D047928,Premature Birth,0.625897884
D000069439,MESH:D065646,"Thyroid Carcinoma, Anaplastic",0.625088334
D000069439,MESH:D004415,Dyspepsia,0.62472707
D000069439,MESH:D009759,"Nystagmus, Pathologic",0.62452209
D000069439,MESH:D014786,Vision Disorders,0.624121964
D000069439,MESH:D000257,Adenoviridae Infections,0.62405926
D000069439,MESH:D001982,Bronchial Diseases,0.624005497
D000069439,MESH:D020529,"Multiple Sclerosis, Relapsing-Remitting",0.623399317
D000069439,MESH:D014353,"Trypanosomiasis, African",0.62251389
D000069439,MESH:D017116,Low Back Pain,0.622209907
D000069439,MESH:D019337,Hematologic Neoplasms,0.621166706
D000069439,MESH:D016483,"Lymphoma, AIDS-Related",0.620532453
D000069439,MESH:D004342,Drug Hypersensitivity,0.62052691
D000069439,MESH:D012555,Schistosomiasis mansoni,0.620492101
D000069439,MESH:D004489,"Edema, Cardiac",0.620458543
D000069439,MESH:D001228,Aspergillosis,0.620054126
D000069439,MESH:D002357,Cartilage Diseases,0.620029271
D000069439,MESH:D020329,Essential Tremor,0.619504452
D000069439,MESH:D000744,"Anemia, Hemolytic, Autoimmune",0.61852318
D000069439,MESH:D018270,"Carcinoma, Ductal, Breast",0.618356943
D000069439,MESH:D006311,Hearing Disorders,0.616341352
D000069439,MESH:D011020,"Pneumonia, Pneumocystis",0.615926921
D000069439,MESH:D054059,Coronary Occlusion,0.61479342
D000069439,MESH:D008207,Lymphatic Metastasis,0.614729345
D000069439,MESH:D008104,"Liver Cirrhosis, Alcoholic",0.614228189
D000069439,MESH:D006980,Hyperthyroidism,0.613494575
D000069439,MESH:D007003,Hypoglycemia,0.613462865
D000069439,MESH:D010373,Lice Infestations,0.613319278
D000069439,MESH:D010505,Familial Mediterranean Fever,0.612548232
D000069439,MESH:D005873,Giardiasis,0.61205864
D000069439,MESH:D008944,Mitral Valve Insufficiency,0.609424055
D000069439,MESH:D017599,Neuroectodermal Tumors,0.608846068
D000069439,MESH:D008924,Mite Infestations,0.608302653
D000069439,MESH:D016757,"Death, Sudden, Cardiac",0.608224034
D000069439,MESH:D052016,Mucositis,0.608057916
D000069439,MESH:D016770,Ciliophora Infections,0.607754171
D000069439,MESH:D047508,Massive Hepatic Necrosis,0.607556701
D000069439,MESH:D014355,Chagas Disease,0.607541203
D000069439,MESH:D056627,Peritoneal Fibrosis,0.607271254
D000069439,MESH:D028361,Mitochondrial Diseases,0.607050896
D000069439,MESH:D014005,Tinea,0.606702924
D000069439,MESH:D008133,Long QT Syndrome,0.606019258
D000069439,MESH:D034141,Hypoalbuminemia,0.6055969
D000069439,MESH:D004941,Esophagitis,0.605425894
D000069439,MESH:D018879,Ventricular Premature Complexes,0.604887724
D000069439,MESH:D008101,"Liver Abscess, Amebic",0.604349136
D000069439,MESH:D014397,"Tuberculosis, Pulmonary",0.603161216
D000069439,MESH:D002546,"Ischemic Attack, Transient",0.602729321
D000069439,MESH:D004769,Enterovirus Infections,0.602630913
D000069439,MESH:D006562,Herpes Zoster,0.602514744
D000069439,MESH:D012221,"Rhinitis, Allergic, Perennial",0.600984514
D000069439,MESH:D046152,Gastrointestinal Stromal Tumors,0.600635111
D000069439,MESH:D023903,Coronary Restenosis,0.599433005
D000069439,MESH:D013086,Spermatic Cord Torsion,0.599275231
D000069439,MESH:D009402,"Nephrosis, Lipoid",0.599066973
D000069439,MESH:D024801,Tauopathies,0.597661912
D000069439,MESH:D007235,"Infant, Premature, Diseases",0.597461224
D000069439,MESH:D006966,Hyperprolactinemia,0.597293437
D000069439,MESH:D021441,"Carcinoma, Pancreatic Ductal",0.597070277
D000069439,MESH:D001478,Basal Cell Nevus Syndrome,0.596257269
D000069439,MESH:D014820,Vitiligo,0.596188724
D000069439,MESH:D003586,Cytomegalovirus Infections,0.594800651
D000069439,MESH:D023921,Coronary Stenosis,0.594248772
D000069439,MESH:D004660,Encephalitis,0.594118416
D000069439,MESH:D003233,"Conjunctivitis, Allergic",0.593698382
D000069439,MESH:D014594,Uterine Neoplasms,0.592578053
D000069439,MESH:D018357,Respiratory Syncytial Virus Infections,0.591605306
D000069439,MESH:D004830,"Epilepsy, Tonic-Clonic",0.591373563
D000069439,MESH:D003925,Diabetic Angiopathies,0.589745224
D000069439,MESH:D018233,"Rhabdomyosarcoma, Embryonal",0.589288533
D000069439,MESH:D002690,Chlamydia Infections,0.588886261
D000069439,MESH:D060585,Fusariosis,0.588291764
D000069439,MESH:D007239,Infections,0.587834358
D000069439,MESH:D007174,"Disruptive, Impulse Control, and Conduct Disorders",0.587785423
D000069439,MESH:D009182,Mycosis Fungoides,0.58680135
D000069439,MESH:D000754,"Anemia, Refractory, with Excess of Blasts",0.58665514
D000069439,MESH:D004184,Dirofilariasis,0.585870743
D000069439,MESH:D006954,Hyperlipoproteinemia Type V,0.585647523
D000069439,MESH:D014178,"Translocation, Genetic",0.585169196
D000069439,MESH:D000077216,"Carcinoma, Ovarian Epithelial",0.584941804
D000069439,MESH:D011251,"Pregnancy Complications, Infectious",0.584178388
D000069439,MESH:D006461,Hemolysis,0.583140194
D000069439,MESH:D009120,Muscle Cramp,0.582977533
D000069439,MESH:D012514,"Sarcoma, Kaposi",0.582597673
D000069439,MESH:D011297,Prenatal Exposure Delayed Effects,0.582513273
D000069439,MESH:D003128,Coma,0.581878662
D000069439,MESH:D056784,Leukoencephalopathies,0.581795573
D000069439,MESH:D001014,Aortic Aneurysm,0.581061423
D000069439,MESH:D006474,Hemorrhagic Disorders,0.580986857
D000069439,MESH:D009373,"Neoplasms, Germ Cell and Embryonal",0.580538213
D000069439,MESH:D001835,Body Weight,0.580052078
D000069439,MESH:D020018,"Sexual Dysfunctions, Psychological",0.579159677
D000069439,MESH:D001282,Atrial Flutter,0.578411818
D000069439,MESH:D010612,Pharyngitis,0.577696145
D000069439,MESH:D013736,Testicular Neoplasms,0.577612281
D000069439,MESH:D001171,"Arthritis, Juvenile",0.574947476
D000069439,MESH:D011248,Pregnancy Complications,0.574598908
D000069439,MESH:D014855,Wallerian Degeneration,0.574060023
D000069439,MESH:D015837,Vestibular Diseases,0.573482454
D000069439,MESH:D012912,Sneezing,0.573461235
D000069439,MESH:D009196,Myeloproliferative Disorders,0.572878301
D000069439,MESH:D006259,Craniocerebral Trauma,0.57272476
D000069439,MESH:D001250,"Asthma, Exercise-Induced",0.572008193
D000069439,MESH:D011123,Polyploidy,0.570909262
D000069439,MESH:D015362,Child Nutrition Disorders,0.570244491
D000069439,MESH:D002280,"Carcinoma, Basal Cell",0.570183992
D000069439,MESH:D006330,"Heart Defects, Congenital",0.569558322
D000069439,MESH:D002769,Cholelithiasis,0.569498777
D000069439,MESH:D004697,"Endocarditis, Bacterial",0.568645
D000069439,MESH:D006978,"Hypertension, Renovascular",0.568400741
D000069439,MESH:D018792,"Encephalitis, Viral",0.568119109
D000069439,MESH:D018281,Cholangiocarcinoma,0.567990363
D000069439,MESH:D012162,Retinal Degeneration,0.567783952
D000069439,MESH:D017511,Pyoderma Gangrenosum,0.56769371
D000069439,MESH:D004935,Esophageal Diseases,0.567596972
D000069439,MESH:D012175,Retinoblastoma,0.56658864
D000069439,MESH:D017563,"Lung Diseases, Interstitial",0.566480756
D000069439,MESH:D018512,Parasitemia,0.564401567
D000069439,MESH:D004485,Eczema,0.563768983
D000069439,MESH:D009976,Orthomyxoviridae Infections,0.563700318
D000069439,MESH:D014623,Vaginal Diseases,0.563195527
D000069439,MESH:D007431,Intraoperative Complications,0.562961221
D000069439,MESH:D057772,Vascular System Injuries,0.562646508
D000069439,MESH:D013984,Tick Infestations,0.562516272
D000069439,MESH:D006628,Hirsutism,0.561924696
D000069439,MESH:D004108,"Dilatation, Pathologic",0.560588837
D000069439,MESH:D008231,Lymphopenia,0.560391068
D000069439,MESH:D020567,Fetal Weight,0.559736371
D000069439,MESH:D058739,Aberrant Crypt Foci,0.559610724
D000069439,MESH:D011225,Pre-Eclampsia,0.559346497
D000069439,MESH:D019106,Postoperative Hemorrhage,0.559272945
D000069439,MESH:D053565,Hypercalciuria,0.558769703
D000069439,MESH:D020306,"Tuberculosis, Central Nervous System",0.558694959
D000069439,MESH:D004915,"Leukemia, Erythroblastic, Acute",0.558629036
D000069439,MESH:D019190,Iron Overload,0.55532223
D000069439,MESH:D013611,"Tachycardia, Atrioventricular Nodal Reentry",0.555300534
D000069439,MESH:D006042,Goiter,0.554961681
D000069439,MESH:C535650,Gastro-enteropancreatic neuroendocrine tumor,0.554874063
D000069439,MESH:D003316,Corneal Diseases,0.554797053
D000069439,MESH:D000075322,Heavy Metal Poisoning,0.554791868
D000069439,MESH:D015663,"Osteoporosis, Postmenopausal",0.553869426
D000069439,MESH:D016470,Bacteremia,0.553471029
D000069439,MESH:D008679,Metaplasia,0.553009391
D000069439,MESH:D000749,"Anemia, Megaloblastic",0.552909851
D000069439,MESH:D046628,Sphincter of Oddi Dysfunction,0.551607609
D000069439,MESH:D000140,"Acidosis, Lactic",0.551605225
D000069439,MESH:D016905,Gram-Negative Bacterial Infections,0.551366806
D000069439,MESH:D015209,"Cholangitis, Sclerosing",0.54995054
D000069439,MESH:D006255,"Rhinitis, Allergic, Seasonal",0.549539089
D000069439,MESH:D001768,Blister,0.548477769
D000069439,MESH:D003704,Dementia,0.548224032
D000069439,MESH:D005354,Fibrosarcoma,0.547329187
D000069439,MESH:D009157,Myasthenia Gravis,0.547091544
D000069439,MESH:D012811,Sigmoid Neoplasms,0.547075033
D000069439,MESH:D010850,Picornaviridae Infections,0.547060251
D000069439,MESH:D013122,Spinal Diseases,0.546526551
D000069439,MESH:D012021,"Reflex, Abnormal",0.545205951
D000069439,MESH:D016780,"Malaria, Vivax",0.545133471
D000069439,MESH:D052456,Hypoalphalipoproteinemias,0.545088887
D000069439,MESH:D007177,Inappropriate ADH Syndrome,0.545050979
D000069439,MESH:D010996,Pleural Effusion,0.544843018
D000069439,MESH:D007897,"Leishmaniasis, Mucocutaneous",0.544385195
D000069439,MESH:D054990,Idiopathic Pulmonary Fibrosis,0.543488979
D000069439,MESH:D012468,Salivary Gland Neoplasms,0.542817771
D000069439,MESH:D001289,Attention Deficit Disorder with Hyperactivity,0.542302489
D000069439,MESH:D058729,Peripheral Arterial Disease,0.542029858
D000069439,MESH:D006083,"Graft Occlusion, Vascular",0.541422129
D000069439,MESH:D018883,Heat Stroke,0.541388094
D000069439,MESH:D001855,Bone Marrow Diseases,0.54131496
D000069439,MESH:D004678,Encephalomalacia,0.541298091
D000069439,MESH:D063646,Carcinogenesis,0.541119933
D000069439,MESH:D017285,Polymyositis,0.540659249
D000069439,MESH:D001660,Biliary Tract Diseases,0.540190101
D000069439,MESH:D013625,Takayasu Arteritis,0.539985716
D000069439,MESH:D010273,"Parasitic Diseases, Animal",0.538164854
D000069439,MESH:D006969,"Hypersensitivity, Immediate",0.538103044
D000069439,MESH:D009436,Neural Tube Defects,0.537837565
D000069439,MESH:D017728,"Lymphoma, Large-Cell, Anaplastic",0.537765741
D000069439,MESH:D001477,Bartter Syndrome,0.537245989
D000069439,MESH:D013280,Stomatitis,0.537226081
D000069439,MESH:D001714,Bipolar Disorder,0.536917567
D000069439,MESH:D000789,"Angina, Unstable",0.536302328
D000069439,MESH:D011552,Pseudomonas Infections,0.536158919
D000069439,MESH:D008179,"Lupus Erythematosus, Discoid",0.534855247
D000069439,MESH:D012164,Retinal Diseases,0.534237385
D000069439,MESH:D002276,Carcinoid Tumor,0.533963919
D000069439,MESH:D013617,"Tachycardia, Supraventricular",0.533882439
D000069439,MESH:D054243,Vesicular Stomatitis,0.533775508
D000069439,MESH:D020326,Migraine without Aura,0.53135848
D000069439,MESH:D014950,"Wounds, Penetrating",0.53128612
D000069439,MESH:D009461,Neurologic Manifestations,0.53095758
D000069439,MESH:D044882,Glucose Metabolism Disorders,0.530872464
D000069439,MESH:D014605,Uveitis,0.529914796
D000069439,MESH:D004832,"Epilepsy, Absence",0.529334247
D000069439,MESH:D010033,Otitis Media,0.52915585
D000069439,MESH:D006356,Heartburn,0.52797091
D000069439,MESH:D012140,Respiratory Tract Diseases,0.527503788
D000069439,MESH:D010302,"Parkinson Disease, Secondary",0.527338982
D000069439,MESH:D012532,Scabies,0.527333975
D000069439,MESH:D002341,Carotid Artery Thrombosis,0.527238071
D000069439,MESH:D006929,Hyperaldosteronism,0.527217984
D000069439,MESH:D006463,Hemolytic-Uremic Syndrome,0.527162015
D000069439,MESH:D002561,Cerebrovascular Disorders,0.526915491
D000069439,MESH:D002114,Calcinosis,0.526782393
D000069439,MESH:D005705,Gallbladder Diseases,0.525811851
D000069439,MESH:D063806,Myalgia,0.524867713
D000069439,MESH:D003881,Dermatomycoses,0.524390936
D000069439,MESH:D017588,Hyperandrogenism,0.523955345
D000069439,MESH:D054179,"Angioedemas, Hereditary",0.523756623
D000069439,MESH:D004927,Escherichia coli Infections,0.52154398
D000069439,MESH:D008206,Lymphatic Diseases,0.521541715
D000069439,MESH:D007232,"Infant, Newborn, Diseases",0.520011842
D000069439,MESH:D010673,Pheochromocytoma,0.519780517
D000069439,MESH:D011629,"Puberty, Precocious",0.518872499
D000069439,MESH:D000743,"Anemia, Hemolytic",0.518578351
D000069439,MESH:D000014,"Abnormalities, Drug-Induced",0.518483937
D000069439,MESH:D016471,Ovarian Hyperstimulation Syndrome,0.516630709
D000069439,MESH:D007006,Hypogonadism,0.514884472
D000069439,MESH:D017719,Diabetic Foot,0.514814377
D000069439,MESH:D016301,Alveolar Bone Loss,0.51448977
D000069439,MESH:D006521,"Hepatitis, Chronic",0.513980448
D000069439,MESH:D053158,Nocturia,0.513799071
D000069439,MESH:D010954,Plasmacytoma,0.512816668
D000069439,MESH:D006417,Hematuria,0.512780428
D000069439,MESH:D011656,Pulmonary Emphysema,0.512280285
D000069439,MESH:D004412,Dysmenorrhea,0.511457801
D000069439,MESH:D015175,Prolactinoma,0.511345923
D000069439,MESH:D001480,Basal Ganglia Diseases,0.511320591
D000069439,MESH:D001005,Anus Neoplasms,0.511030197
D000069439,MESH:D016411,"Lymphoma, T-Cell, Peripheral",0.510982454
D000069439,MESH:D007009,Hypolipoproteinemias,0.510907829
D000069439,MESH:D001989,Bronchiolitis Obliterans,0.510005713
D000069439,MESH:D056151,Airway Remodeling,0.508408129
D000069439,MESH:D005761,"Gastroenteritis, Transmissible, of Swine",0.507828236
D000069439,MESH:D009999,"Ossification, Heterotopic",0.506631494
D000069439,MESH:D004646,Emphysema,0.506245315
D000069439,MESH:D001523,Mental Disorders,0.50308907
D000069439,MESH:D002105,Cadmium Poisoning,0.502027929
D000069439,MESH:D011595,Psychomotor Agitation,0.501851857
D000069439,MESH:D050500,"Pancreatitis, Chronic",0.501081884
